iter	Logloss
0	0.6561518901
1	0.6229965018
2	0.5928801852
3	0.5675179017
4	0.5440321524
5	0.5236775398
6	0.5048317216
7	0.4903019273
8	0.4774362241
9	0.4647961135
10	0.4550914434
11	0.444596723
12	0.4355288912
13	0.4274249199
14	0.4201448997
15	0.4141340417
16	0.4084745755
17	0.4036925317
18	0.3992537223
19	0.3953288069
20	0.3918505866
21	0.3888732009
22	0.3864516901
23	0.3838588961
24	0.3818881057
25	0.3793835916
26	0.3771832025
27	0.3756287634
28	0.373990175
29	0.3724101931
30	0.3709093629
31	0.3696979527
32	0.3685029096
33	0.3673497471
34	0.3663517722
35	0.365238956
36	0.3644119245
37	0.3635419404
38	0.3627594685
39	0.3621458163
40	0.3615078142
41	0.3608815411
42	0.3602109204
43	0.3596252569
44	0.359096971
45	0.3585615419
46	0.3580069568
47	0.3575641197
48	0.3570458974
49	0.3565952665
50	0.3561629096
51	0.3558697348
52	0.3555008082
53	0.3552187847
54	0.3548440315
55	0.354564123
56	0.3541829924
57	0.3539204923
58	0.3536030203
59	0.3533212799
60	0.3530502827
61	0.3527044048
62	0.3524461075
63	0.3521942445
64	0.3517935253
65	0.3515037374
66	0.3512834108
67	0.3510886945
68	0.3508410364
69	0.3506455778
70	0.3503687147
71	0.3501951313
72	0.3499651651
73	0.3497760188
74	0.3496127524
75	0.3493873482
76	0.3491723166
77	0.3490034964
78	0.3487850061
79	0.3486088394
80	0.3484058665
81	0.3482147024
82	0.3479613171
83	0.3477700039
84	0.3475763394
85	0.3474481197
86	0.3472917947
87	0.3471371289
88	0.3469822885
89	0.346761279
90	0.346647387
91	0.346489517
92	0.346388664
93	0.3462286904
94	0.3460882215
95	0.3459018437
96	0.3457692032
97	0.3456040927
98	0.3454497597
99	0.3453093874
100	0.3451932905
101	0.3450804736
102	0.3449125732
103	0.3447558171
104	0.3445381109
105	0.3444119592
106	0.3442195682
107	0.344095508
108	0.3439717227
109	0.343826671
110	0.3437016455
111	0.3436002742
112	0.3435022511
113	0.3433852493
114	0.3432316362
115	0.3430783884
116	0.3429614664
117	0.3428827295
118	0.3427568284
119	0.3426599676
120	0.3425464313
121	0.3423980232
122	0.3422359931
123	0.3421500882
124	0.3420423039
125	0.3419385547
126	0.3418380673
127	0.3417298593
128	0.3416114352
129	0.3415050892
130	0.3413678417
131	0.3412569663
132	0.3411054982
133	0.3409970597
134	0.3408782447
135	0.3407769918
136	0.3406794245
137	0.3405472773
138	0.3404410411
139	0.3402936209
140	0.3401996382
141	0.3401181247
142	0.3400078227
143	0.3399084172
144	0.339785899
145	0.3397062729
146	0.3395909189
147	0.3394864807
148	0.3393725044
149	0.3392414848
150	0.3391445638
151	0.3390515612
152	0.3389489485
153	0.3388834941
154	0.3387677854
155	0.3386472236
156	0.3384790324
157	0.3383629132
158	0.3382503565
159	0.338136672
160	0.3379956636
161	0.3379173626
162	0.3378213181
163	0.337727965
164	0.3376113485
165	0.3375110008
166	0.3374274955
167	0.3373468386
168	0.3372525584
169	0.3371501603
170	0.3370157342
171	0.3369446099
172	0.3368579202
173	0.3367225091
174	0.3366438132
175	0.336522065
176	0.336420598
177	0.3363054491
178	0.3361778084
179	0.3361027674
180	0.3360182659
181	0.3358830463
182	0.3357489322
183	0.3356901756
184	0.3356261121
185	0.3355565812
186	0.3354600329
187	0.3353765831
188	0.3352559173
189	0.3351597964
190	0.3350063942
191	0.3349081733
192	0.3348034986
193	0.3347058179
194	0.3346484096
195	0.3345736297
196	0.3344854625
197	0.334371478
198	0.3342454248
199	0.3341470492
200	0.3340336598
201	0.3339315196
202	0.3338371267
203	0.3337097952
204	0.3335747799
205	0.3334718988
206	0.3333791523
207	0.3332825299
208	0.3331511229
209	0.3330629883
210	0.3329336437
211	0.3328432556
212	0.3327408272
213	0.3326604616
214	0.3325599118
215	0.3324425678
216	0.3323844506
217	0.3322818558
218	0.3321491383
219	0.3320406302
220	0.3319500037
221	0.3318583671
222	0.3317702258
223	0.3316422435
224	0.3315634222
225	0.3314401638
226	0.3313078166
227	0.3311835163
228	0.3310547389
229	0.3309417649
230	0.3308375705
231	0.3307271866
232	0.3306322738
233	0.3305247094
234	0.3304218074
235	0.3303384472
236	0.3302026501
237	0.3300715963
238	0.3299780849
239	0.3298992328
240	0.329778244
241	0.3296960645
242	0.3295809586
243	0.3294963922
244	0.3293862987
245	0.3292757045
246	0.3291797689
247	0.3290438158
248	0.3289124996
249	0.328796861
250	0.3286974629
251	0.3285991783
252	0.3285201723
253	0.3283976784
254	0.328250359
255	0.3281401896
256	0.3280440311
257	0.3279351618
258	0.327821465
259	0.327727308
260	0.3276275512
261	0.3274832721
262	0.327380956
263	0.3272694118
264	0.3271670201
265	0.327013945
266	0.3268900971
267	0.3268005705
268	0.3266945185
269	0.3265886203
270	0.3264730517
271	0.3263611616
272	0.3262576378
273	0.3261427568
274	0.326046861
275	0.3259422664
276	0.3258493486
277	0.3256921068
278	0.325606861
279	0.3254908967
280	0.3253802528
281	0.3252295092
282	0.3251111204
283	0.3250192838
284	0.3249028742
285	0.3247576305
286	0.3246541424
287	0.3245012964
288	0.3243760605
289	0.3242627307
290	0.3241614706
291	0.3240866985
292	0.3239821966
293	0.3238673045
294	0.3237745166
295	0.3236490043
296	0.3235317098
297	0.3234615068
298	0.3233631304
299	0.3232736448
300	0.3231611407
301	0.3230862354
302	0.3229902072
303	0.322891102
304	0.322805946
305	0.3226927339
306	0.3225913854
307	0.3224780578
308	0.3224055728
309	0.3223087793
310	0.3222319396
311	0.322159487
312	0.322052061
313	0.3219394226
314	0.3218439177
315	0.3217000446
316	0.3215665901
317	0.3214556701
318	0.3213657752
319	0.3212383753
320	0.3211490573
321	0.3210610282
322	0.3209682758
323	0.3208912248
324	0.3208029797
325	0.320739096
326	0.3206286409
327	0.3205201335
328	0.320389916
329	0.3203031937
330	0.320201588
331	0.3200804044
332	0.3200115542
333	0.3198565687
334	0.3197466443
335	0.3196737002
336	0.3195628691
337	0.3194989346
338	0.3193932506
339	0.319315889
340	0.319188038
341	0.3190917752
342	0.3189981739
343	0.318917277
344	0.3188143123
345	0.318729887
346	0.3186432758
347	0.3185453069
348	0.3184587176
349	0.3183468416
350	0.3182333656
351	0.318135408
352	0.3180762904
353	0.3179878968
354	0.3179129331
355	0.3178435075
356	0.3177470947
357	0.3176578422
358	0.3175358478
359	0.3174089331
360	0.3173009847
361	0.3172238352
362	0.3171366843
363	0.3170575637
364	0.3169594463
365	0.3168558322
366	0.3167506298
367	0.3166760455
368	0.3165853402
369	0.3164752076
370	0.3164052528
371	0.3163170722
372	0.3162218611
373	0.3161161825
374	0.3160321257
375	0.3159735628
376	0.3158535654
377	0.3157343405
378	0.3156479335
379	0.3155712662
380	0.3155112349
381	0.3153822872
382	0.315282625
383	0.3151662555
384	0.3150289653
385	0.3149625828
386	0.3148547816
387	0.3147742073
388	0.3146945388
389	0.3146209606
390	0.3145322903
391	0.3144423182
392	0.3143648024
393	0.3142338237
394	0.3141167082
395	0.3140335251
396	0.3139230746
397	0.3138549629
398	0.313796019
399	0.3137157435
400	0.3136236258
401	0.3135162522
402	0.3134007657
403	0.3132828765
404	0.3132287363
405	0.3131296472
406	0.3130432553
407	0.3129765182
408	0.3128620383
409	0.3127788395
410	0.3126936868
411	0.3125873275
412	0.3125235313
413	0.3124275576
414	0.3123480236
415	0.3122531722
416	0.312157241
417	0.3120860775
418	0.3120016416
419	0.3118886431
420	0.311800323
421	0.3117138052
422	0.3116002217
423	0.3115058733
424	0.3114347027
425	0.3113501808
426	0.3112584769
427	0.3111750611
428	0.3110434754
429	0.3109449093
430	0.3108930649
431	0.3108213438
432	0.3107301587
433	0.3106562256
434	0.310581458
435	0.3104996626
436	0.3104282497
437	0.3103129661
438	0.3102386864
439	0.3101542059
440	0.3100581115
441	0.3099757549
442	0.3098990125
443	0.3098386102
444	0.3097665619
445	0.3096625182
446	0.3095799745
447	0.3095110425
448	0.3094505028
449	0.3093754344
450	0.3092813105
451	0.3091939741
452	0.3090926928
453	0.3090276269
454	0.3089252497
455	0.3088100502
456	0.3086961673
457	0.3086135969
458	0.3085235585
459	0.3084484531
460	0.3083680526
461	0.308287602
462	0.3082034315
463	0.3081281853
464	0.3080176838
465	0.30795281
466	0.3078567717
467	0.3077889741
468	0.3077035884
469	0.3076554161
470	0.3075680646
471	0.3074946262
472	0.3073972165
473	0.3072809995
474	0.3072303407
475	0.3071354379
476	0.3070562189
477	0.3069653366
478	0.3069051403
479	0.3068058759
480	0.3067087935
481	0.3066100684
482	0.3065159557
483	0.3064691592
484	0.3064013821
485	0.3062804793
486	0.3062421943
487	0.3061477343
488	0.3060640721
489	0.3059808566
490	0.3059103664
491	0.3058568706
492	0.3057819632
493	0.3056879931
494	0.3056006491
495	0.3055144499
496	0.3054461755
497	0.3054271784
498	0.3053128855
499	0.3052261414
500	0.3051309422
501	0.3050533902
502	0.3049415253
503	0.3048606598
504	0.3047983202
505	0.3047087747
506	0.3046249348
507	0.3045279391
508	0.3044586208
509	0.3044328489
510	0.3043672474
511	0.304311661
512	0.3042377969
513	0.3041756842
514	0.3040973503
515	0.3040152756
516	0.3039458934
517	0.3038467361
518	0.3037380244
519	0.3036424089
520	0.3035732556
521	0.3034953306
522	0.303384695
523	0.3033151732
524	0.30325632
525	0.3031688375
526	0.3030697002
527	0.3029950049
528	0.3029168966
529	0.3027923149
530	0.302713032
531	0.3026662684
532	0.3025994255
533	0.3025295517
534	0.3024539141
535	0.3023804625
536	0.3022965099
537	0.3022266565
538	0.3021480367
539	0.3021152744
540	0.3020431386
541	0.3019714672
542	0.3018947182
543	0.3018172186
544	0.3017627754
545	0.3016914546
546	0.3016268604
547	0.3015383016
548	0.301468972
549	0.3013782193
550	0.3013020581
551	0.3012047757
552	0.3011162499
553	0.3010508448
554	0.3009533871
555	0.3008764273
556	0.3008079819
557	0.3007014006
558	0.3006386375
559	0.3005451318
560	0.300479405
561	0.3004031562
562	0.3003183372
563	0.300237174
564	0.3001174543
565	0.3000212486
566	0.2999618521
567	0.2998465775
568	0.2997523906
569	0.2996771418
570	0.2995929901
571	0.2994981354
572	0.2994251289
573	0.2993705798
574	0.2993258428
