,purpose,int.rate,installment,annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
0,,0.1691,652.1,29579.74,10.66,730,3333,4955.0,39.6,4,2,0,1
1,major_purchase,0.1354,191.27,52808.95,13.06,707,6063,12335.0,37.8,2,1,0,0
2,credit_card,0.0758,377.0,168689.22,11.98,736,2681,1505.0,5.0,1,0,0,0
3,debt_consolidation,0.1774,359.33,71325.19,20.55,702,3972,39536.0,94.1,1,0,0,0
4,credit_card,0.143,875.45,130773.88,17.61,688,5555,17295.0,56.4,0,0,0,0
5,credit_card,0.1173,291.49,56004.28,2.58,701,3858,3076.0,36.1,1,0,0,0
6,major_purchase,0.1181,161.56,41670.92,8.47,683,8331,7485.0,25.6,0,0,0,0
7,credit_card,0.1467,176.78,51415.08,11.05,664,5067,25135.0,71.4,3,0,0,0
8,debt_consolidation,0.1227,308.49,47637.9,22.47,718,4756,3839.0,45.0,0,0,0,0
9,debt_consolidation,0.122,934.26,171822.35,14.49,719,4985,52692.0,39.7,0,0,0,0
10,major_purchase,0.1287,42.24,39302.27,9.6,679,2038,2001.0,45.6,0,0,0,0
11,major_purchase,0.075,189.04,50138.86,15.92,792,1992,903.0,0.9,0,0,0,0
12,debt_consolidation,0.1215,870.68,181301.58,15.4,760,10912,56290.0,45.1,0,0,0,0
13,all_other,0.1457,342.37,123192.08,9.5,742,7312,16891.0,27.0,2,0,0,0
14,small_business,0.1014,112.94,63349.1,10.51,725,2812,5300.0,17.8,0,0,0,0
15,home_improvement,0.1946,681.81,93450.92,9.94,688,2926,5000.0,19.0,2,0,0,0
16,educational,0.1557,508.86,193164.39,12.84,704,4053,3889.0,10.1,1,0,0,0
17,educational,0.1565,99.05,44577.39,10.02,661,5999,6913.0,89.2,5,0,0,0
18,small_business,0.1205,521.67,100548.82,7.79,736,4025,4618.0,41.7,0,0,0,0
19,small_business,0.1446,46.8,32307.43,17.37,674,2475,5231.0,70.1,3,0,0,0
20,debt_consolidation,0.1444,320.58,25924.31,10.8,707,1903,3219.0,62.6,0,0,0,0
21,all_other,0.0832,60.84,90443.3,8.08,751,5316,127206.0,27.7,9,0,0,0
22,small_business,0.141,118.16,35627.63,17.99,725,3372,15840.0,71.0,0,0,0,0
23,small_business,0.1304,80.36,40356.29,19.32,676,3862,22901.0,62.9,1,2,0,1
24,major_purchase,0.1361,615.48,34767.02,3.3,672,2165,15121.0,92.6,3,0,0,0
25,debt_consolidation,0.1614,181.53,97308.35,17.14,644,15630,10420.0,78.4,1,1,0,0
26,all_other,0.0715,166.03,62675.29,9.05,754,5061,6514.0,29.2,0,0,0,0
27,educational,0.1096,97.66,14811.6,17.36,705,1145,2948.0,65.8,0,0,0,0
28,educational,0.1421,118.64,26164.26,7.12,696,4488,812.0,56.8,0,0,0,0
29,major_purchase,0.121,186.5,36557.7,15.38,693,5266,1968.0,7.1,1,0,0,0
30,debt_consolidation,0.132,173.54,54215.68,16.47,680,4424,4260.0,53.4,0,1,0,1
31,debt_consolidation,0.1661,147.39,24116.49,12.84,678,1844,1315.0,91.8,0,0,0,0
32,small_business,0.1306,375.85,100814.51,8.73,713,9545,11328.0,0.2,3,0,0,0
33,home_improvement,0.1071,81.49,12464.61,14.62,696,2350,4222.0,93.9,3,0,0,1
34,all_other,0.0941,76.73,30348.87,19.89,729,988,19608.0,59.1,1,0,0,0
35,small_business,0.1388,188.46,84693.71,20.98,673,4906,28774.0,67.6,0,0,0,0
36,debt_consolidation,0.1437,307.84,28349.6,3.58,700,1639,299.0,36.8,2,0,1,0
37,small_business,0.2051,558.87,66597.18,10.31,703,7063,22609.0,88.3,0,0,0,0
38,all_other,0.1683,91.95,41673.35,10.28,643,5507,829.0,16.4,4,0,0,0
39,major_purchase,0.1124,233.92,56277.44,2.42,681,4210,11468.0,43.4,1,0,1,0
40,debt_consolidation,0.1834,485.75,95742.86,14.62,662,3604,29039.0,87.6,8,0,0,0
41,small_business,0.1083,274.58,51083.84,16.95,706,3071,8692.0,73.6,1,0,0,1
42,educational,0.1178,120.98,3197.62,9.67,712,1614,3042.0,11.9,0,0,0,0
43,debt_consolidation,0.156,580.45,133504.57,4.89,666,3690,9328.0,52.7,2,0,0,0
44,debt_consolidation,0.081,311.35,30987.79,7.82,766,3559,12874.0,34.9,0,0,0,0
45,educational,0.1504,212.77,46064.05,17.34,660,3283,4003.0,90.0,0,0,0,0
46,credit_card,0.1209,700.51,44583.88,7.02,677,2865,351.0,39.2,0,0,0,0
47,home_improvement,0.1017,290.01,45463.14,11.8,672,1231,9385.0,39.0,1,0,0,0
48,major_purchase,0.1159,707.6,76831.6,8.89,742,3456,16081.0,42.1,3,0,0,0
49,all_other,0.1291,206.93,97573.95,8.62,732,2370,2625.0,0.9,1,1,0,0
50,major_purchase,0.1563,78.76,27102.61,12.0,667,3101,3215.0,86.4,3,0,0,0
51,major_purchase,0.1301,149.39,52650.86,9.22,671,4046,14152.0,81.1,0,1,0,0
52,debt_consolidation,0.1671,498.31,53820.63,14.33,676,3511,9578.0,87.7,0,0,0,1
53,educational,0.1319,533.25,132950.59,1.74,688,7467,12382.0,82.2,0,1,0,0
54,home_improvement,0.1117,424.71,36599.52,21.53,721,8700,17406.0,51.4,1,0,0,0
55,small_business,0.1026,714.87,381437.95,14.37,802,6175,119080.0,8.7,4,0,0,0
56,all_other,0.0926,106.58,60158.55,2.84,707,3420,1439.0,21.9,2,0,0,0
57,educational,0.1219,160.42,11645.56,18.36,719,8894,9557.0,34.8,3,0,0,0
58,credit_card,0.088,511.2,123465.05,17.29,752,7180,23249.0,29.7,0,0,0,0
59,debt_consolidation,0.0884,270.89,63103.74,10.17,698,4992,21369.0,71.9,1,0,0,0
60,debt_consolidation,0.1145,86.54,83997.53,5.8,679,5170,5069.0,71.9,2,0,0,0
61,all_other,0.1233,161.12,26305.74,21.68,646,1466,1692.0,59.9,1,0,0,0
62,small_business,0.1213,164.83,23617.16,16.02,672,7698,6887.0,21.3,0,2,0,0
63,home_improvement,0.1499,284.74,66287.22,16.88,685,9583,12493.0,28.8,0,0,0,0
64,debt_consolidation,0.1225,334.73,57333.45,19.35,682,3269,24574.0,95.8,0,0,0,0
65,all_other,0.1156,134.22,40721.8,5.17,716,2527,3946.0,64.8,0,0,0,1
66,debt_consolidation,0.1464,237.18,33054.88,24.33,673,5913,11193.0,57.1,0,1,0,0
67,all_other,0.1318,326.16,92810.61,4.85,673,3107,13843.0,87.6,1,0,0,0
68,debt_consolidation,0.1527,346.03,252573.41,12.43,683,9803,22169.0,61.6,2,1,1,1
69,major_purchase,0.0788,79.21,46923.26,14.13,781,5735,11961.0,29.5,0,0,0,0
70,major_purchase,0.0825,96.68,129036.45,7.27,756,11745,36114.0,49.0,1,0,0,0
71,small_business,0.121,477.24,19002.77,6.74,739,1880,3412.0,0.7,0,0,0,0
72,all_other,0.1508,234.48,26147.64,24.48,659,9321,1834.0,93.7,7,0,0,0
73,,0.1893,157.26,52297.16,16.49,666,3151,26166.0,56.1,1,0,0,0
74,debt_consolidation,0.1276,236.28,40815.14,22.61,687,6324,15772.0,38.1,3,0,0,1
75,debt_consolidation,0.1617,545.8,90055.12,15.32,668,2121,5559.0,88.4,6,0,0,0
76,all_other,0.0786,225.42,50494.61,2.16,776,2585,2737.0,1.0,0,0,0,0
77,major_purchase,0.156,323.07,34891.01,3.49,682,1221,2541.0,12.1,0,0,0,0
78,credit_card,0.1634,524.38,38044.7,1.47,733,7494,8851.0,38.6,2,0,0,0
79,home_improvement,0.153,393.29,89854.22,10.2,725,4740,3554.0,2.5,8,0,0,0
80,educational,0.1398,131.14,25578.27,2.76,650,2882,4004.0,51.1,3,0,1,0
81,home_improvement,0.1409,826.46,97722.46,24.58,691,2013,139156.0,35.5,12,0,0,0
82,small_business,0.16,460.16,47661.69,17.1,685,3472,18130.0,60.1,0,0,0,0
83,all_other,0.104,91.54,20375.38,5.87,685,1851,133.0,57.7,8,0,0,0
84,major_purchase,0.071,206.53,21959.72,7.15,818,2697,1951.0,4.8,0,0,0,0
85,educational,0.1133,52.77,29737.54,5.84,667,4411,13366.0,91.1,3,0,0,1
86,home_improvement,0.0934,316.87,25839.63,6.64,732,10991,8317.0,50.6,0,0,0,0
87,debt_consolidation,0.1458,233.21,55371.11,24.05,678,4270,14079.0,102.0,2,0,0,0
88,debt_consolidation,0.1254,153.18,49310.38,8.06,731,1382,2012.0,64.0,0,0,0,0
89,educational,0.1107,155.59,80994.97,15.39,714,4602,5531.0,20.1,1,0,0,0
90,home_improvement,0.1139,327.52,79070.67,2.09,671,1734,6690.0,30.0,0,0,0,0
91,small_business,0.1645,71.02,42832.3,1.76,652,3328,199.0,71.5,0,0,0,1
92,all_other,0.1276,87.74,35357.37,4.11,679,3843,8048.0,93.1,0,0,0,0
93,debt_consolidation,0.1035,145.62,80966.38,23.47,714,10284,12319.0,31.6,0,0,0,0
94,debt_consolidation,0.1655,212.77,26927.67,13.81,659,2724,5746.0,42.3,4,2,0,1
95,debt_consolidation,0.1105,195.88,30911.39,11.77,684,1938,2096.0,55.0,0,1,0,0
96,major_purchase,0.0919,338.35,56204.05,0.95,810,4330,2451.0,3.0,0,0,0,0
97,small_business,0.133,285.27,57815.56,11.25,733,4770,9370.0,10.1,0,1,0,0
98,,0.0699,73.23,32980.41,6.86,771,4755,3827.0,0.6,0,0,1,0
99,small_business,0.1043,208.49,79554.47,15.98,716,5536,32057.0,31.2,5,0,0,1
100,credit_card,0.1565,903.16,171099.56,9.81,730,4724,11404.0,21.2,0,0,0,0
101,debt_consolidation,0.1472,208.67,18863.4,20.58,665,2206,9185.0,72.4,1,0,0,0
102,educational,0.118,214.28,22608.43,1.03,694,2724,5176.0,26.0,3,0,0,0
103,major_purchase,0.1179,198.01,31391.48,13.46,753,3589,2279.0,29.3,0,0,0,0
104,major_purchase,0.141,172.93,26207.03,2.74,680,5784,2162.0,16.3,1,0,0,0
105,home_improvement,0.1032,281.87,23749.83,1.48,698,3422,350.0,7.7,8,0,0,1
106,major_purchase,0.1162,658.4,67546.44,1.47,721,6043,112.0,14.0,3,1,0,0
107,credit_card,0.1738,863.02,95890.95,21.2,760,13203,30136.0,52.9,2,0,0,0
108,educational,0.1087,42.57,90851.94,10.66,684,3630,4172.0,6.1,3,0,1,0
109,,0.1068,467.41,66629.55,12.43,782,4534,4123.0,31.5,6,0,0,0
110,credit_card,0.1235,363.5,131840.7,16.91,681,5520,41059.0,59.8,4,0,0,0
111,debt_consolidation,0.0865,308.62,25000.27,17.15,725,2916,13662.0,39.3,0,0,0,0
112,debt_consolidation,0.1272,454.13,82274.48,17.22,675,828,11121.0,47.8,1,0,0,0
113,debt_consolidation,0.1955,186.42,26912.83,12.26,677,6079,6655.0,60.5,0,0,0,0
114,debt_consolidation,0.0963,342.35,63813.45,5.3,773,6494,2597.0,9.4,0,0,0,0
115,credit_card,0.1305,226.77,41753.58,18.97,693,10401,10316.0,72.1,3,0,0,0
116,debt_consolidation,0.1103,401.62,91529.82,23.88,716,5111,213642.0,38.8,1,0,0,0
117,all_other,0.1084,40.13,31966.75,8.5,679,4816,6167.0,17.6,0,1,0,0
118,all_other,0.129,376.89,87761.03,6.84,719,7587,16658.0,27.3,2,0,0,0
119,debt_consolidation,0.1247,381.88,95259.49,3.06,747,5519,25039.0,56.0,1,0,0,0
120,educational,0.1365,231.05,39474.37,4.0,710,900,11053.0,21.7,4,0,0,1
121,debt_consolidation,0.1134,299.49,70702.73,5.98,736,5356,9814.0,34.4,0,0,0,0
122,major_purchase,0.1088,283.36,82619.6,12.44,713,4355,9640.0,19.9,1,0,0,0
123,home_improvement,0.108,200.53,75858.14,22.3,710,7515,17721.0,37.0,3,0,0,0
124,debt_consolidation,0.1807,861.06,103646.02,17.21,655,6594,16475.0,66.5,4,2,0,1
125,credit_card,0.1271,753.71,82441.71,4.16,718,6544,10301.0,38.1,1,0,0,0
126,all_other,0.07,175.75,72896.73,16.54,729,4335,7450.0,17.4,0,0,0,0
127,educational,0.1294,203.51,53310.11,25.54,669,2380,18361.0,83.0,3,1,0,1
128,all_other,0.15,46.42,60267.5,18.61,665,3908,12701.0,93.5,1,0,0,0
129,all_other,0.1311,26.48,97011.02,16.76,657,3469,26252.0,88.6,0,0,0,0
130,educational,0.0982,149.42,118472.76,12.96,698,6283,70443.0,68.4,9,0,0,0
131,educational,0.1281,527.26,37234.16,11.2,720,1740,536.0,21.9,0,0,0,0
132,credit_card,0.149,70.88,104114.06,17.81,662,1600,6919.0,89.7,1,0,0,0
133,educational,0.1256,266.52,27182.19,9.27,760,4374,2361.0,9.3,0,0,0,1
134,major_purchase,0.106,146.23,42038.6,16.03,690,1682,643.0,80.4,0,0,0,0
135,educational,0.1176,169.93,26682.34,6.56,697,2907,3558.0,29.9,1,0,0,0
136,debt_consolidation,0.1449,297.38,50651.01,25.47,674,5239,11905.0,83.1,1,0,0,0
137,major_purchase,0.1794,223.33,79757.81,16.22,711,5459,16269.0,49.3,6,0,0,0
138,home_improvement,0.1117,462.46,206805.29,8.55,716,9404,25071.0,36.1,1,0,0,0
139,debt_consolidation,0.1283,364.82,76192.47,20.92,732,4831,7277.0,9.3,0,0,0,0
140,credit_card,0.0917,338.77,48945.3,14.96,767,3837,16620.0,24.4,0,0,0,0
141,educational,0.1399,65.73,7084.4,14.43,685,4457,3639.0,94.7,3,0,0,0
142,small_business,0.1585,35.36,22671.14,2.35,703,1311,1740.0,35.9,0,0,0,1
143,educational,0.1317,99.06,61606.87,22.49,673,4893,11404.0,95.1,0,0,0,0
144,credit_card,0.1201,243.83,35344.26,20.34,668,4436,47329.0,67.6,2,1,0,0
145,all_other,0.1346,239.44,60753.44,9.42,688,1520,5650.0,40.7,1,0,0,0
146,major_purchase,0.0876,671.2,74014.47,10.91,778,7404,9498.0,3.6,0,0,0,0
147,small_business,0.1808,254.29,12294.75,21.42,661,2665,5229.0,85.1,0,0,0,0
148,major_purchase,0.1083,229.66,40085.68,14.59,709,5194,6108.0,43.1,1,0,0,0
149,debt_consolidation,0.0895,140.65,44017.19,0.99,741,3122,22416.0,34.3,4,0,0,0
150,major_purchase,0.1241,74.0,47838.44,5.99,723,3050,3748.0,81.9,0,0,0,0
151,debt_consolidation,0.1163,295.27,38355.61,20.4,682,3591,7825.0,16.3,5,0,0,1
152,home_improvement,0.0846,711.38,75789.31,14.02,748,2999,16069.0,14.5,8,0,0,0
153,credit_card,0.1484,404.87,75850.07,12.41,685,10527,10756.0,18.8,3,3,0,0
154,small_business,0.1799,379.79,44410.8,14.17,683,925,4519.0,100.2,3,0,0,1
155,small_business,0.1898,723.85,42456.78,16.54,700,5557,11351.0,67.4,0,2,0,0
156,small_business,0.16,578.45,76394.18,10.68,676,3601,2352.0,70.1,0,0,0,1
157,home_improvement,0.1067,686.17,68661.67,16.18,773,4854,19228.0,54.9,4,0,0,0
158,educational,0.1101,292.09,73345.0,14.27,781,4932,2709.0,9.0,1,0,0,0
159,all_other,0.1168,157.52,111100.85,17.55,718,4121,15488.0,77.8,3,0,0,0
160,major_purchase,0.1629,148.52,19719.84,20.26,641,1161,5645.0,95.9,1,0,0,0
